ase            algorithm            size    comparisons          swaps     time_taken
--------------------------------------------------------------------------------------
random          Bubble Sort           100           4740           2298       0.001349
random          Selection Sort        100           4950             93       0.000924
random          Insertion Sort        100           2394           2298       0.000590
random          Merge Sort            100            533            672       0.000382
random          Quick Sort            100            650            424       0.000277
random          Heap Sort             100           1038            594       0.000449
random          Bubble Sort          1000         499290         237493       0.039372
random          Selection Sort       1000         499500            992       0.019515
random          Insertion Sort       1000         238487         237493       0.013578
random          Merge Sort           1000           8707           9976       0.000901
random          Quick Sort           1000          10446           5531       0.000603
random          Heap Sort            1000          16850           9099       0.001305
random          Bubble Sort         10000       49988559       25076686       3.227546
random          Selection Sort      10000       49995000           9994       1.916343
random          Insertion Sort      10000       25086677       25076686       1.331869
random          Merge Sort          10000         120341         133616       0.012089
random          Quick Sort          10000         143220          76376       0.008097
random          Heap Sort           10000         235369         124246       0.018882
sorted          Bubble Sort           100             99              0       0.000004
sorted          Selection Sort        100           4950              0       0.000165
sorted          Insertion Sort        100             99              0       0.000005
sorted          Merge Sort            100            356            672       0.000056
sorted          Quick Sort            100            604            349       0.000041
sorted          Heap Sort             100           1080            638       0.000084
sorted          Bubble Sort          1000            999              0       0.000043
sorted          Selection Sort       1000         499500              0       0.018787
sorted          Insertion Sort       1000            999              0       0.000060
sorted          Merge Sort           1000           5044           9976       0.000718
sorted          Quick Sort           1000           9060           5005       0.000485
sorted          Heap Sort            1000          17575           9673       0.001396
sorted          Bubble Sort         10000           9999              0       0.000451
sorted          Selection Sort      10000       49995000              0       1.918636
sorted          Insertion Sort      10000           9999              0       0.000636
sorted          Merge Sort          10000          69008         133616       0.009543
sorted          Quick Sort          10000         125525          66826       0.006605
sorted          Heap Sort           10000         244479         131398       0.019415
reverse_sorted  Bubble Sort           100           4950           4942       0.000299
reverse_sorted  Selection Sort        100           4950             54       0.000173
reverse_sorted  Insertion Sort        100           4949           4942       0.000231
reverse_sorted  Merge Sort            100            320            672       0.000055
reverse_sorted  Quick Sort            100            807            509       0.000049
reverse_sorted  Heap Sort             100            944            515       0.000072
reverse_sorted  Bubble Sort          1000         499500         499458       0.035396
reverse_sorted  Selection Sort       1000         499500            516       0.019358
reverse_sorted  Insertion Sort       1000         499497         499458       0.024934
reverse_sorted  Merge Sort           1000           4952           9976       0.000718
reverse_sorted  Quick Sort           1000          14295           8928       0.000720
reverse_sorted  Heap Sort            1000          15965           8321       0.001233
reverse_sorted  Bubble Sort         10000       49995000       49994483       3.918775
reverse_sorted  Selection Sort      10000       49995000           5232       1.968484
reverse_sorted  Insertion Sort      10000       49994980       49994483       2.650203
reverse_sorted  Merge Sort          10000          64909         133616       0.009501
reverse_sorted  Quick Sort          10000         230135         141224       0.011220
reverse_sorted  Heap Sort           10000         226745         116721       0.017544
